File,Lines,SLOC,CLOC,Funcs,Classes,object,case object,class,case class,abstract class,trait,extends,with
server/app/generator/model/shapecontainer/connection/shapeconnections/CDRoundedRectangle.scala,17,11,3,0,1,0,0,1,0,0,0,1,1
server/app/generator/model/shapecontainer/connection/shapeconnections/CDText.scala,19,13,3,0,1,0,0,1,0,0,0,1,1
server/app/generator/model/shapecontainer/connection/shapeconnections/ShapeConnection.scala,8,2,4,0,1,0,0,1,0,1,0,0,0
server/app/generator/model/shapecontainer/shape/anchor/Anchor.scala,52,36,4,7,8,3,0,5,0,3,0,7,0
server/app/generator/model/shapecontainer/shape/Compartment.scala,85,65,4,7,7,5,4,2,0,1,0,5,0
server/app/generator/model/shapecontainer/shape/geometrics/Alignment.scala,30,23,3,2,9,7,6,2,0,2,0,6,0
server/app/generator/model/shapecontainer/shape/geometrics/Description.scala,44,33,5,1,2,1,0,1,0,0,0,2,0
server/app/generator/model/shapecontainer/shape/geometrics/Ellipse.scala,40,21,13,2,2,1,0,1,0,0,0,1,0
server/app/generator/model/shapecontainer/shape/geometrics/GeometricModel.scala,10,2,5,0,1,0,0,1,0,1,0,0,0
server/app/generator/model/shapecontainer/shape/geometrics/layouts/CommonLayout.scala,63,49,9,3,1,1,0,0,0,0,1,2,0
server/app/generator/model/shapecontainer/shape/geometrics/layouts/Layout.scala,7,3,0,0,0,0,0,0,0,0,1,1,0
server/app/generator/model/shapecontainer/shape/geometrics/layouts/LineLayout.scala,45,35,5,1,1,1,0,0,0,0,1,1,0
server/app/generator/model/shapecontainer/shape/geometrics/layouts/PolyLineLayout.scala,42,32,5,2,1,1,0,0,0,0,1,1,0
server/app/generator/model/shapecontainer/shape/geometrics/layouts/RectangleEllipseLayout.scala,7,2,3,0,0,0,0,0,0,0,1,1,0
server/app/generator/model/shapecontainer/shape/geometrics/layouts/RoundedRectangleLayout.scala,40,30,5,2,1,1,0,0,0,0,1,2,0
server/app/generator/model/shapecontainer/shape/geometrics/layouts/TextLayout.scala,55,44,5,2,1,1,0,0,0,0,1,2,0
server/app/generator/model/shapecontainer/shape/geometrics/Line.scala,33,25,4,6,2,1,0,1,0,0,0,1,1
server/app/generator/model/shapecontainer/shape/geometrics/Point.scala,35,29,0,4,2,1,0,1,0,0,0,1,0
server/app/generator/model/shapecontainer/shape/geometrics/Polygon.scala,32,20,6,2,2,1,0,1,0,0,0,1,1
server/app/generator/model/shapecontainer/shape/geometrics/PolyLine.scala,32,21,6,2,2,1,0,1,0,0,0,1,1
server/app/generator/model/shapecontainer/shape/geometrics/Rectangle.scala,44,27,10,2,2,1,0,1,0,0,0,1,1
server/app/generator/model/shapecontainer/shape/geometrics/RoundedRectangle.scala,45,26,14,2,2,1,0,1,0,0,0,1,1
server/app/generator/model/shapecontainer/shape/geometrics/Text.scala,54,43,5,2,5,3,2,2,0,1,1,4,1
server/app/generator/model/shapecontainer/shape/geometrics/Wrapper.scala,10,4,4,0,0,0,0,0,0,0,1,0,0
server/app/generator/model/shapecontainer/shape/Shape.scala,229,181,50,10,2,1,0,1,0,0,0,2,0
server/app/generator/model/shapecontainer/ShapeContainerElement.scala,9,4,3,0,0,0,0,0,0,0,1,0,0
server/app/generator/model/style/color/Color.scala,50,45,0,19,21,19,18,2,0,2,0,20,1
